587624457,-2,-8,20
587624457,-2,-17,40
587624457,-1,-25,59
587624457,-1,-34,78
587624457,2,-35,78
587624457,3,-34,77
587624457,5,-34,77
587624457,8,-33,78
587624458,10,-34,76
587624458,13,-35,75
587624458,14,-36,75
587624458,16,-37,75
587624458,17,-36,75
587624458,19,-35,76
587624458,18,-33,76
587624458,17,-31,78
587624459,18,-26,77
587624459,16,-19,79
587624459,19,-14,80
587624459,20,-6,80
587624459,19,-1,85
587624459,19,3,84
587624459,18,7,85
587624459,18,7,85
587624460,18,8,84
587624460,18,5,85
587624460,15,3,86
587624460,11,3,86
587624460,7,1,88
587624460,3,1,88
587624460,1,3,87
587624460,-2,2,86
587624461,-5,0,85
587624461,-8,-3,86
587624461,-11,-7,86
587624461,-12,-9,86
587624461,-11,-8,85
587624461,-12,-6,85
587624461,-12,-6,85
587624461,-11,-6,85
587624462,-13,-5,84
587624462,-12,-5,83
587624462,-11,-5,82
587624462,-13,-5,82
587624462,-13,-6,82
587624462,-14,-7,81
587624462,-17,-7,82
587624462,-18,-7,82
587624462,-19,-9,83
587624462,-19,-9,84
